,tweet_id,engaging_user_id,probability,prediction
0,5AFF129F735EC6F0253F737AE3F2F42F,7B7D097D72AF9DCD7E837DFF78CEDF52,"[0.8874176708644109,0.11258232913558901]",0.0
1,FD74F0E085CB3E023979AE780EA8FC80,A642139C310DB3F102228A5DBA18B6E0,"[0.9469553010764022,0.053044698923597845]",0.0
2,DFCCD8ADEFA7470ECA7A951F458596FA,ED9DEBA062966F6C8205E73C0E649173,"[0.9139159120021819,0.086084087997818]",0.0
3,21E6E7126A127CA8E0169D77F9AFF6A6,6676161018E87D26FF70851FA9B0A392,"[0.8822348750934113,0.11776512490658878]",0.0
4,B0CE7999915ACA4460C643FCB3DC71AC,782C21B4DE30F3778FC4831AE66364E7,"[0.9060146665346073,0.09398533346539269]",0.0
5,6A7F4301D0F4E5E9362CD0B1DFA7804A,91EE3A7B13352EBB028F53DADD6D68FF,"[0.9268783987923375,0.07312160120766258]",0.0
6,B0900E5B6D77E782077DF1BD3DCE5A7B,488D313AB8BDB52E0A9D368C5E6CFCA1,"[0.9342776825221744,0.06572231747782566]",0.0
7,DE79883E7D9BDFD104041C047688327D,71C35F95D19CBE2F245C3F01723013EB,"[0.912631569701585,0.08736843029841504]",0.0
8,3CC6ADBD7EFBAC13851A306D6F66ABCC,72A21960E2ABFF4CA229D72CA8F4CADC,"[0.9204735636123378,0.0795264363876623]",0.0
9,7F2F5F2129624252281FD84DB519856D,10038A514E310AA507938D40773621D1,"[0.9113002719866208,0.08869972801337918]",0.0
10,C20A78724B819840AF550CC109236702,29ADA049CE59C3B0D1DED969635EC608,"[0.8909832025987645,0.10901679740123546]",0.0
11,248FD09EDB736D1B990B9DFD20709B4D,A0461BED2E9820EA09AE5E3C726F6DAA,"[0.810645227398267,0.18935477260173306]",0.0
12,05C19F00192BB33012C47AC40AAD8C59,F8D50B0D96734793B4DC5D47FBC59B1F,"[0.8510606912052452,0.14893930879475473]",0.0
13,13A1F0D16E242B05E351CEF66C39949A,961E561B076EDE480DDF83A9F568894D,"[0.9333187230065283,0.0666812769934717]",0.0
14,67BB835CC04C4DFB4582EB54C10FFF82,B1A3AA2412B7863E5D9BD6589DFDBE52,"[0.9297172363234347,0.07028276367656536]",0.0
15,028D6C22F54B39BD0285B3D5FDFF60C0,DF62028C2CF6E34EA82FAF9AD9677CC9,"[0.9292351883409488,0.07076481165905131]",0.0
16,D9ADB698E0570520DDE33E9E09FA983D,1C3AC60A4B3C7FF59B703975AADD92CE,"[0.8820335322530818,0.11796646774691825]",0.0
17,558842A23C1A8430B83D2AB762EB3984,9223724EED00C2BE06563ABF819530D5,"[0.87821344525968,0.12178655474032]",0.0
18,7CABC235AA4DC10C9D0393CFB393D560,811540EDAF69F689D21E1DB3960E694B,"[0.8948869385803361,0.10511306141966396]",0.0
19,DBFDD1082C470AB9037EE5C81BD18AB4,A4C69EFD93BB60D144D95ED6594BCA95,"[0.9323024466333838,0.06769755336661616]",0.0
20,D74CD011325AB93023A4ABB2BF9B1F2D,4C7DD38FB4C60BBF1B55D7FCD898F9BD,"[0.9382425102448281,0.061757489755171924]",0.0
21,687678660075E5A16DA97A8955304817,4D3577B8CB6BE508AD9DEBA4941462A1,"[0.8916575164487881,0.10834248355121187]",0.0
22,83712A1C15E0F526BF9DC68C582A8CE9,387AAA922F1521E81D8216B6DA06689B,"[0.9138176154104508,0.08618238458954909]",0.0
