,tweet_id,engaging_user_id,probability,prediction
0,04746004AA1F5498834CE7A4C6343D1A,00000776B07587ECA9717BFC301F2D6E,"[0.9967824146698581,0.0032175853301419344]",0.0
1,B5C4CBE185831F3E5A58A4D81118D4C7,00000776B07587ECA9717BFC301F2D6E,"[0.9953911234960982,0.00460887650390183]",0.0
2,6B6836351BFAA6D1CC1EB0386BCB8C6A,00000B85AAF7DE172876FD96718C4469,"[0.9960572921545896,0.003942707845410341]",0.0
3,0DCF558E40500F22F84F98C4E7C38EDC,00000E0C9B364891CDE89ECFC54771DE,"[0.9971003796937055,0.0028996203062945573]",0.0
4,F13AA57F12DD6107D9D8544A27BDE9EC,0000109A57AFA64758EE4AAE2A01BFC7,"[0.9956790492490939,0.0043209507509061025]",0.0
5,01ADD87BE33683487889D721B5DD3910,00001607209C5774DF9207A2AC0EED5F,"[0.9486448843393201,0.05135511566067981]",0.0
6,5E35903C153D1CA5503B8AD186A652F3,00001607209C5774DF9207A2AC0EED5F,"[0.9957393271307422,0.004260672869257717]",0.0
7,7B5C160AE47825DD4DABFEE9C99B8D26,00001607209C5774DF9207A2AC0EED5F,"[0.995893232463831,0.0041067675361690596]",0.0
8,4E5E35BB70F2076B53DF8F8AD5D07DBF,00002E504FA95B3BC259937F4F6E9E7E,"[0.9975136028342012,0.002486397165798689]",0.0
9,686E12F43EE6BE0638B771248C9C2FE7,00002EBA27A6215AD7FCB28362CB17D2,"[0.9424693872077821,0.05753061279221785]",0.0
10,7083E29C30195AD3B5591C0C4FBBF0E4,00002F72BEAEE4940685C86600211BFF,"[0.9942185756287094,0.005781424371290691]",0.0
11,9BB3297D53E377D594BD040CD91DB1F8,00003106185A9399D0A102A1175634DD,"[0.9971714601107189,0.002828539889281154]",0.0
12,9246D270965112C2F42C78E48D43BB71,0000376314CAC0A3E9D4FCF4A29004D6,"[0.9933934538324982,0.006606546167501795]",0.0
13,BCC3C7E94B524BF07D8488F22221A14A,00003E644C0C03C285097B676C93C18A,"[0.9951658791433925,0.004834120856607486]",0.0
14,FD4CF58B67E9D946D7EE58FEFC27BC02,00003E644C0C03C285097B676C93C18A,"[0.9951899603838423,0.004810039616157579]",0.0
15,B37A53483DACB2445CFB1A7D1D9971D2,000051F7DBE0F3EF809EEE9E472F3217,"[0.9452728970686305,0.05472710293136958]",0.0
16,FBD529172CF647B432B3248ABE051FAC,000052B88E27886C4DAEF585806A67BC,"[0.9948700564150051,0.005129943584994904]",0.0
17,2DFE82D14ADE9E1D9E8061B9403D78EF,00005605C8A49318D4A93B42F386CB24,"[0.9942185756287094,0.005781424371290691]",0.0
18,58FCD86F15F90CF919CE3D24D3027E43,00005605C8A49318D4A93B42F386CB24,"[0.9973053844592531,0.002694615540746958]",0.0
